Firm Name,Type (Intl / Local),Office Location(s) in APAC,Practice Areas,Known Client Base,Notable Cases / Disputes,Notes
rajah & tann,Singapore Local,"9 Straits View, #06-07 Marina One West Tower, Singapore 018937 (Sg.Rajahtannasia.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences, Aviation, ESG & Sustainability, Hospitality & Leisure, Entertainment & Media","sinopec international singapore, sumifru singapore","The Mount Apo [2019] 4 SLR 909, BWG v BWF [2020] 1 SLR 1296, PT Adidaya Energy Mandiri v MS First Capital Insurance Ltd [2022] 4 SLR 371, Sumifru Singapore Pte Ltd v Felix Santos Ishizuka and others [2022] SGHC 14, COSCO Shipping Specialized Carriers Co Ltd v PT OKI Pulp & Paper Mills and others [2023] SGHC 149, Sinopec International (Singapore) Pte Ltd v Bank of Communications Co Ltd [2024] 3 SLR 476 (sg.rajahtannasia.com)",Rajah & Tann Sing apore LLP. https://sg.rajahtannasia.com/
allen & gledhill,Singapore Local,"One Marina Boulevard, #28-00, Singapore 018989 (Allenandgledhill.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Funds & Investment Management, Islamic Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Healthcare & Life Sciences, Aviation, ESG & Sustainability, Entertainment & Media","bts tankers, dbs bank, jsw international tradecorp jsw, oversea-chinese banking corporation ocbc, st telemedia global data centres, united overseas bank uob","Public Prosecutor v. Captain George Vakirtzis, Public Prosecutor v. Captain Janusz Czubak, Five Ocean Corp v Cingler Ship Pte Ltd (PT Commodities & Energy Resources, intervener) [2016] 1 SLR 1159, Valency International Pte Ltd v JSW International Tradecorp Pte Ltd & Ors, Natixis Singapore Branch v Lim Oon Kuin and Ors, Hai Jiang 1401 Pte Ltd v Singapore Technologies Marine Ltd (allenandgledhill.com, chambers)",allenandgledhill.com
drew & napier,Singapore Local,"10 Collyer Quay #10-01 Ocean Financial Centre , Singapore, Singapore Island, Singapore, 049315, Singapore (Chambers.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences, ESG & Sustainability, Entertainment & Media, Defamation & Reputation","metro holdings, razer","Suntech Power Holdings Co Ltd v GSF Capital Pte Ltd and Javier Romero, Ng Joo Soon v Dovechem Holdings Pte Ltd Re Brightoil Petroleum (S’pore) Pte Ltd [2022] SGHC 35, Voss Peer v APL Co Pte Ltd [2002] SGHC 81, Hyosung (HK) Ltd v Owners of the Ship or Vessel ""Hilal I"" [2000] SGHC 268 (drewnapier.com, googleai, chambers)",www.drewnapier.com
wongpartnership,Singapore Local,12 Marina Boulevard Level 28 Marina Bay Financial Centre Tower 3 Singapore 018982 (Www.Wongpartnership.Com),"Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Regulatory & Compliance, Intellectual Property, Tax, Technology, Data & Cybersecurity","dbs bank, first resources, first sponsor group","Timing Limited v Tay Toh Hin & Anor [2020] 5 SLR 974, Prime Shipping Corp v Public Prosecutor [2018] 4 SLR 795, Hin Leong Trading / Ocean Tankers Interpleader Proceedings (google)",https://www.wongpartnership.com/
helmsman llc,Singapore Local,"21A Duxton Hill (Reception: 19 Duxton Hill), Singapore 089604 (Https://Www.Helmsmanlaw.Com/Contact)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities","straits bunkering, united overseas bank uob","Public Prosecutor v Richard Ouwehand and Others, Orion Shipping and Trading Ltd v Great Asia Maritime Ltd Vasily Trubnikov v Evgeny Volosov [2025] HKCFI 1576 (google)",https://www.helmsmanlaw.com/
blackstone & gold,Singapore Local,"70 Shenton Way, Eon Shenton, #10-12, S079118 (Www.Blackstonegold.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, International Trade & Commodities, Energy & Infrastructure, Technology, Data & Cybersecurity, ESG & Sustainability","alvari, avani resources","Marketlend Pty Ltd v QBE Insurance (Singapore) Pte Ltd Majestica Enterprises Ltd v Kams Singapore Pte Ltd $60 Million African Oil Project Arbitration (LCIA London), The Hin Leong Trading Collapse Fallout (gemini)",https://www.blackstonegold.com/
braddell brothers llp,Singapore Local,"11 Beach Road #04-01 Singapore , Singapore, Singapore Island, Singapore, 189675, Singapore (Chambers)","Corporate & M&A, Banking & Finance, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Energy & Infrastructure, Private Wealth & Estate Planning, Healthcare & Life Sciences, Defamation & Reputation","bafco singapore, basf intertrade ag singapore branch, the singapore medical council smc","BASF Intertrade AG Singapore Branch v H&C S Holding Pte Ltd PetroVietnam v PJSC Power Machines, Teunis Eigenraam v Ngng Pte Ltd Vessel Charterer Winding-Up Defense (gemini)",https://braddellbrothers.com/
joseph tan jude benny llp,Singapore Local,"168 Robinson Road, #18-02 Capital Tower, Singapore 068912 (Jtjb.Com)","Corporate & M&A, Dispute Resolution & Litigation, Regulatory & Compliance, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning",fti consulting singapore,"The “Miracle Hope” [2020] SGHCR 3; BNP Paribas v Bandung Shipping Pte Ltd (Shweta International Pte Ltd and another, third parties) [2003] 3 SLR(R) 611; [2003] SGHC 111; Freight Connect (S) Pte Ltd v Paragon Shipping Pte Ltd [2015] SGCA 37; Zim Integrated Shipping Services Ltd and others v Dafni Igal and others [2010] SGCA 45; The “Rainbow Star” [2011] 3 SLR 1; [2011] SGHC 35 (jtjb.com), Paragon Shipping v Freight Connect (perplexity)",https://jtjb.com/
dentons rodyk & davidson llp,Singapore Local,"80 Raffles Place, #33-00 Uob Plaza 1, 048624, Singapore (Dentons.Rodyk.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Islamic Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences","boustead projects, oversea-chinese banking corporation ocbc, thomson medical group tmg","Government of Sri Lanka v Shipowners of Vessel X-Press Pearl and associated persons, Fastfreight Pte Ltd v Bulk Trident Shipping Ltd Case involving vessel GULF DEFFI, UniCredit Bank AG v Hin Leong Trading (Pte) Ltd (perplexity)","Dentons Rodyk is part of Dentons ASEAN, the first global pan-ASEAN law firm. https://dentons.rodyk.com/en/office-details/singapore"
oon & bazul llc,Singapore Local,"36 Robinson Road, #08-01/06 City House, Singapore 068877 (Https://Oonbazul.Com/Contact/)","Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Insurance","oversea-chinese banking corporation ocbc, winson oil trading","The Miracle Hope, Standard Chartered Bank (Singapore) Ltd v Maersk Tankers Singapore Pte Ltd (Winson Oil Trading Pte Ltd intervener) [2022] SGHC 242, The “STI Orchard” (Winson Oil Trading Pte Ltd intervener) [2022] SGHCR 6, he “Yue You 902” [2019] SGHC 106, The “Luna” and another appeal [2021] SGCA 84  (oonbazul.com)",https://oonbazul.com/
pdlegal llc,Singapore Local,"1 Coleman Street , #08-02 The Adelphi , Singapore 179803 (Www.Pdlegal.Com.Sg)","Corporate & M&A, Dispute Resolution & Litigation, Restructuring & Insolvency, Real Estate & Construction, Shipping & Maritime, Private Wealth & Estate Planning, Technology, Data & Cybersecurity",louis dreyfus company asia,"The Owner and/or Demise Charterer of the Vessel “Marine Honour” v. The Owner and/or Demise Charterer of the Vessel “Vox Maxima” and Others (gemini), Acting for owners of SOV Southern Star (a DP3 vessel), Representing Japanese ship owner Masao Mizobuchi (perplexity)",https://www.pdlegal.com.sg/
shook lin & bok llp,Singapore Local,"1 Robinson Road, #18-00 Aia Tower, Singapore 048542 (Https://Www.Shooklin.Com/En/)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Regulatory & Compliance, Real Estate & Construction, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, ESG & Sustainability, Entertainment & Media",standard chartered bank singapore scb,"Duncan and Cameron Lindsay and another v Diablo Fortune Inc and another matter SGHC 172, Winson Oil Trading Pte Ltd v Oversea-Chinese Banking Corporation and Standard Chartered Bank (Singapore) Limited SGHC 220, Claim of more than USD80 million against OK Lim and his children, founder/ex-directors, and former senior employee of Hin Leong Trading (perplexity)",shooklin.com
tsmp law corporation,Singapore Local,"6 Battery Road, Level 5, Singapore 049909 (Https://Www.Tsmplaw.Com/Contact-Us/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Real Estate & Construction, Employment & Labor, Private Wealth & Estate Planning","halcyon agri corporation, ho lee construction, kpmg, mizuho bank, perennial real estate holdings, seraya energy, westbridge ventures ii investment holdings","Acting for Asiana Airlines in dispute with catering agent over arbitration agreements, Engaged by judicial managers in the liquidation of Nan Chiau Maritime, Advising on offshore shipping sector infrastructure financing deal (US$300 million), Representing client in dispute over nickel mine in Indonesia (Century Holding Company Limited) (perplexity)",https://www.tsmplaw.com/
virtus law llp,Singapore Local,"8 Marina Boulevard, #29-01, Marina Bay Financial Centre Tower 1, Singapore 018981 (Https://Www.Virtus-Law.Com/)","Corporate & M&A, Banking & Finance, Capital Markets, Dispute Resolution & Litigation, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Employment & Labor, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Technology, Data & Cybersecurity",standard chartered bank singapore scb,"The ""Brightoil Glory"", In the matter of Coastal Oil Singapore Pte Ltd (In Liquidation), In re Varada Marine Pte Ltd ---, In the matter of Hin Leong Trading (Pte) Ltd and Winson Oil Trading v. Hin Leong Trading & Ors (gemini)",Virtus Law LLP is a member of the Stephenson Harwood (Singapore) Alliance. Focus is on five sectors:
dennismathiew,Singapore Local,"7500A Beach Road, #14-324, The Plaza, Singapore 199591 (Https://Www.Dennismathiew.Com/Contact/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Shipping & Maritime, International Trade & Commodities, Entertainment & Media","atlantic navigation holdings singapore, royal global exports","Atlantic Navigation Holdings (Singapore) Ltd v Chang Yee Meng Malcolm and another [2021] SGHC 159, Marco Polo Shipping Co Pte Ltd v Fairmacs Shipping & Transport Services Pte Ltd [2015] 5 SLR 541, The “Emma Maersk” [2006] SGHC 180, Royal Global Exports Pte Ltd v Good Stream Co Ltd and anor [2004] 4 SLR(R) 247, The “ASL Power” [2003] 1 SLR(R) 545, The “Caraka Jaya Niaga III-11” [2021] SGHC 43 (dennismathiew.com)","DennisMathiew has built a solid reputation in maritime and commercial law, services span across shipping, logistics, international trade, and oil & gas. https://www.dennismathiew.com/"
asialegal llc,Singapore Local,"1 Coleman Street, #07-02A, The Adelphi, Singapore 179803 (Gemini)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Shipping & Maritime, Private Wealth & Estate Planning, Family Law, Insurance, Entertainment & Media",louis dreyfus company asia,"The ""Kaminesan"" (Three-Ship Collision), The ""Asia Star"" [2006] SGHC 115, The ""Ching Ho"" & ""Noble Spirit"" Container Losses, Pacific Integrated Logistics Pte Ltd v German Vernel International Freight Ltd [2007] 1 SLR 1017, The O.W. Bunker Collapse Litigation: Precious Shipping Public Company Ltd v OW Bunker Far East [2015] SGHC 187, Ever Lucky Shipping Company Limited v Sunlight Mercantile Pte Ltd [2003] SGHC 80 (gemini)",website not working.
christopher lau sc,Singapore Local,"32 Maxwell Road, #02-04 Maxwell Chambers, Singapore 069115 (Https://Arbitrationlaw.Com/Profile/Christopher-Lau-0)","International Arbitration, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Entertainment & Media",,Unknown,
dunbar & lim chambers llc,Singapore Local,"160 Robinson Road, #18-03 Sbf Center, Singapore 068914  (Https://Dunbarlim.Com/Contact/)",International Arbitration,,"The US$168 Million LNG Non-Delivery Arbitration (ICC Singapore), The Concurrent Gas Production Arbitrations (SIAC Singapore), The US$3 Billion Upstream State Dispute (ICC), The European Multinational v. Asian Commodities Firm Dispute (ICC) (gemini)",https://dunbarlim.com/
haridass ho & partners,Singapore Local,"4 Shenton Way, #10-03/06 Sgx Centre 2, Singapore 068807 (Https://Hhp.Com.Sg/Sample-Page/)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Entertainment & Media",marina offshore,"The “August 8” [1980–1981] SLR 144 / [1982–1983] SLR 32 (Privy Council), The “Hung Vuong 2” [2001] 3 SLR 146, Faith Maritime Co Ltd v Feoso (Singapore) Pte Ltd & Another [2002] 4 SLR 716, The “Neptra Premier” [2002] 2 SLR 124, The “Patraikos 2” [2002] 4 SLR 232, Marina Offshore Pte Ltd v China Insurance Co (Singapore) Pte Ltd [2006] 1 SLR 800 (Court of Appeal) (gemini)",https://hhp.com.sg/
gill arbitration services,Singapore Local,"81A Clemenceau Avenue, #05-18, Ue Square, Singapore 239918 (Https://Www.Judithgill.Com/#Answers-Section)","Corporate & M&A, International Arbitration",,"Glencore International A.G. v. Republic of Colombia, dispute over the bulk purchase of physical hydrocarbon products by a Chinese entity, dispute between two major Saudi Arabian companies involving cross-border logistics, as price review dispute involving physical gas supply and off-take agreements across Asia (perplexity)","She has experience in various commercial arbitration areas, including joint ventures, corporate sales, construction, energy contracts, and investment treaty disputes. https://www.judithgill.com/#answers-section"
pk wong & nair llc,Singapore Local,"6 Battery Road, #09-03, Singapore 049909 (Https://Pkw.Com.Sg/)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Employment & Labor, Intellectual Property, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","maybank singapore, petrochina international singapore","PDV Marina Wind-Up (CV Shipping Liquidation), Goldilocks Investment Co Ltd v Noble Group Ltd 5 SLR 425 (perplexity)",https://pkw.com.sg/
providence law asia llc,Singapore Local,"One Raffles Place, Tower 2, #29-62, Singapore 048616 (Https://Www.Providencelawasia.Com/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Real Estate & Construction, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","gp global apac, gtp advisory pac, pricewaterhousecoopers pwc singapore","Re Hin Leong Trading (Pte) Ltd [2025] / [2026], Re GP Global APAC Pte Ltd [2024] / [2025], HSBC v Zenrock Commodities Trading Pte Ltd Alphard Maritime Ltd v Samson Maritime Ltd and Underwater Services Company Limited [2025] SGHC 154 (gemini)",https://www.providencelawasia.com/
lvm law chambers llc,Singapore Local,"160 Robinson Road, #13-02 Sbf Center, Singapore 068914 (Https://Www.Lvmlawchambers.Com/Contact/)",Dispute Resolution & Litigation,"cye, grabtaxi holdings, ms first capital insurance, unipec singapore, united overseas bank uob, winson oil trading","The “Maersk Katalin” [2024] SGHC 282, CYE v CYF [2023] SGHC 275 (lvmlawchambers.com)",https://www.lvmlawchambers.com/
incisive law llc,Singapore Local,"120 Robinson Road #08-01, Singapore 068913 (Incisivelaw.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Fraud, Investigations & White Collar, Shipping & Maritime, International Trade & Commodities, Insurance","argoglobal underwriting asia pacific, china taiping insurance singapore, great american insurance company, ms first capital insurance, qbe insurance singapore","Argoglobal Underwriting Asia Pacific Pte Ltd and others v Oversea-Chinese Banking Corporation Limited SGCA 14, The “Sea Justice” SGCA 32, The “Tina I” 3 SLR 121 (perplexity)",https://incisivelaw.com/
damodara ong llc,Singapore Local,"30 Cecil St, #11-01 Prudential Tower, Singapore 049712 (Https://Www.Damodaraong.Com/#!/Contact)","Corporate & M&A, Dispute Resolution & Litigation, Fraud, Investigations & White Collar, Private Wealth & Estate Planning, Family Law",,Unknown,https://www.damodaraong.com/
focus law asia llc,Singapore Local,"16 Raffles Quay #21-01, Hong Leong Building, Singapore 048581 (Https://Www.Focuslawasia.Com/Contact-Us)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Employment & Labor, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Technology, Data & Cybersecurity",maersk tankers singapore,"Advising  the liquidators of Hin Leong Trading (Pte) Ltd  [2022] SGHC 242, [2021] SGHC 286, [2024] SGHC 63,  [2025] SGCA 33 (https://www.focuslawasia.com/our-people/shem-khoo)",https://www.focuslawasia.com/
resource law llc,Singapore Local,"10 Collyer Quay, #18-01, Ocean Financial Centre, Singapore 049315","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Restructuring & Insolvency, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences",,Unknown,https://www.resourcelawasia.com/
