Firm Name,Type (Intl / Local),Office Location(s) in APAC,Practice Areas,Known Client Base,Notable Cases / Disputes,Notes
Rajah & Tann,Singapore Local,"9 Straits View, #06-07 Marina One West Tower, Singapore 018937 (Sg.Rajahtannasia.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences, Aviation, ESG & Sustainability, Hospitality & Leisure, Entertainment & Media","Hanjin Shipping, Sumifru Singapore Pte Ltd., COSCO Shipping Specialized Carriers Co, Ltd., Sinopec International (Singapore) Pte Ltd, Pacific Richfield Marine, CH Offshore Limited, Chuan Hup Holdings, Miclyn Express Offshore Limited, Neptune Associated Shipping Pte Ltd, Neptune Associated Shipping Pte Ltd, Pacific Shipping Trust, PT Rig Tenders Indonesia, Searights Maritime Services Group (gemini + rajahtannasia.com)","The Mount Apo [2019] 4 SLR 909, BWG v BWF [2020] 1 SLR 1296, PT Adidaya Energy Mandiri v MS First Capital Insurance Ltd [2022] 4 SLR 371, Sumifru Singapore Pte Ltd v Felix Santos Ishizuka and others [2022] SGHC 14, COSCO Shipping Specialized Carriers Co Ltd v PT OKI Pulp & Paper Mills and others [2023] SGHC 149, Sinopec International (Singapore) Pte Ltd v Bank of Communications Co Ltd [2024] 3 SLR 476 (sg.rajahtannasia.com)",Rajah & Tann Sing apore LLP. https://sg.rajahtannasia.com/
Allen & Gledhill,Singapore Local,"One Marina Boulevard, #28-00, Singapore 018989 (Allenandgledhill.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Funds & Investment Management, Islamic Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Healthcare & Life Sciences, Aviation, ESG & Sustainability, Entertainment & Media","PT Commodities & Energy Resources, JSW International Tradecorp Pte Ltd (JSW), Telemedia Global Data Centres, BTS Tankers Pte Ltd, Natixis Singapore Branch, Hai Jiang 1401 Pte Ltd, DBS Bank, United Overseas Bank, Oversea-Chinese Banking, World Bank (chambers, google ai, allenandgledhill.com)","Public Prosecutor v. Captain George Vakirtzis, Public Prosecutor v. Captain Janusz Czubak, Five Ocean Corp v Cingler Ship Pte Ltd (PT Commodities & Energy Resources, intervener) [2016] 1 SLR 1159, Valency International Pte Ltd v JSW International Tradecorp Pte Ltd & Ors, Natixis Singapore Branch v Lim Oon Kuin and Ors, Hai Jiang 1401 Pte Ltd v Singapore Technologies Marine Ltd (allenandgledhill.com, chambers)",allenandgledhill.com
Drew & Napier,Singapore Local,"10 Collyer Quay #10-01 Ocean Financial Centre , Singapore, Singapore Island, Singapore, 049315, Singapore (Chambers.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences, ESG & Sustainability, Entertainment & Media, Defamation & Reputation","Daelim Industrial Co., Ltd., Resources Prima Group Ltd, CVC Capital Partners (CVC), PT Berlian Laju Tanker Tbk, Metro Holdings Limited, Asia Pulp & Paper group of companies (APP Group), Brightoil Petroleum (S'pore) Pte. Ltd. (BOPS), Razer, Tencent, Eagle Hospitality Trust, ST Marine Ltd, Shandong Shipping Corporation, O.W. Bunker Far East (Pte) Ltd, Dynamic Oil Trading (Singapore) Pte Ltd, Hin Leong Trading, Hilal Denizcilik (drewnpaier.com, google ai, chambers) ","Suntech Power Holdings Co Ltd v GSF Capital Pte Ltd and Javier Romero, Ng Joo Soon v Dovechem Holdings Pte Ltd Re Brightoil Petroleum (S’pore) Pte Ltd [2022] SGHC 35, Voss Peer v APL Co Pte Ltd [2002] SGHC 81, Hyosung (HK) Ltd v Owners of the Ship or Vessel ""Hilal I"" [2000] SGHC 268 (drewnapier.com, googleai, chambers)",www.drewnapier.com
WongPartnership,Singapore Local,12 Marina Boulevard Level 28 Marina Bay Financial Centre Tower 3 Singapore 018982 (Www.Wongpartnership.Com),"Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Regulatory & Compliance, Intellectual Property, Tax, Technology, Data & Cybersecurity","Nuance Pharma, First Resources, CC Capital, First Sponsor Group, China Railway Tunnel Group's Singapore branch, BNP Paribas Wealth Management, Meta Platforms Inc, KKR, DBS, PDV Marina, Ocean Tankers Pte Ltd, Seatrium, Hin Leong Trading (google, chambers)","Timing Limited v Tay Toh Hin & Anor [2020] 5 SLR 974, Prime Shipping Corp v Public Prosecutor [2018] 4 SLR 795, Hin Leong Trading / Ocean Tankers Interpleader Proceedings (google)",https://www.wongpartnership.com/
Helmsman LLC,Singapore Local,"21A Duxton Hill (Reception: 19 Duxton Hill), Singapore 089604 (Https://Www.Helmsmanlaw.Com/Contact)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities","China Base Group Limited, United Overseas Bank, Maersk Tankers, Straits Bunkering Pte Ltd, Great Asia Maritime Limited, Quaestus Capital Pte. Ltd., Nanjing Tanker Corporation (Subsidiaries) (google)","Public Prosecutor v Richard Ouwehand and Others, Orion Shipping and Trading Ltd v Great Asia Maritime Ltd Vasily Trubnikov v Evgeny Volosov [2025] HKCFI 1576 (google)",https://www.helmsmanlaw.com/
Blackstone & Gold,Singapore Local,"70 Shenton Way, Eon Shenton, #10-12, S079118 (Www.Blackstonegold.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, International Trade & Commodities, Energy & Infrastructure, Technology, Data & Cybersecurity, ESG & Sustainability","Majestica Enterprises, Avani Resources Pte. Ltd., Alvari Pte. Ltd., InterChem Pte. Ltd., Phoenix Group, Somap International Pte. Ltd., QBE Insurance (Singapore) Pte Ltd, Hin Leong Trading, Pavilion Gas, Pertamina, PETRONAS, Mitsui Asia-Pacific Pte Ltd (gemini + blackstonegold.com)","Marketlend Pty Ltd v QBE Insurance (Singapore) Pte Ltd Majestica Enterprises Ltd v Kams Singapore Pte Ltd $60 Million African Oil Project Arbitration (LCIA London), The Hin Leong Trading Collapse Fallout (gemini)",https://www.blackstonegold.com/
Braddell Brothers LLP,Singapore Local,"11 Beach Road #04-01 Singapore , Singapore, Singapore Island, Singapore, 189675, Singapore (Chambers)","Corporate & M&A, Banking & Finance, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Energy & Infrastructure, Private Wealth & Estate Planning, Healthcare & Life Sciences, Defamation & Reputation","PT First Media Tbk (Lippo Group), BAFCO Singapore Pte. Ltd., The Singapore Medical Council, Ngng Pte Ltd, PJSC Power Machines, BASF Intertrade AG (gemini)","BASF Intertrade AG Singapore Branch v H&C S Holding Pte Ltd PetroVietnam v PJSC Power Machines, Teunis Eigenraam v Ngng Pte Ltd Vessel Charterer Winding-Up Defense (gemini)",https://braddellbrothers.com/
Joseph Tan Jude Benny LLP,Singapore Local,"168 Robinson Road, #18-02 Capital Tower, Singapore 068912 (Jtjb.Com)","Corporate & M&A, Dispute Resolution & Litigation, Regulatory & Compliance, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning","Petrobras, Myanmar Five Star Line Company Limited (MFSL), Paragon Shipping, Consortium of shipowners, Hin Leong Trading (Pte) Ltd, Xihe Holdings Pte Ltd, Uni Petroleum Pte Ltd, Myanmar National Airlines Company Limited (MNA), Kylen Resources, FTI Consulting (Singapore) Pte. Ltd. (perplexity)","The “Miracle Hope” [2020] SGHCR 3; BNP Paribas v Bandung Shipping Pte Ltd (Shweta International Pte Ltd and another, third parties) [2003] 3 SLR(R) 611; [2003] SGHC 111; Freight Connect (S) Pte Ltd v Paragon Shipping Pte Ltd [2015] SGCA 37; Zim Integrated Shipping Services Ltd and others v Dafni Igal and others [2010] SGCA 45; The “Rainbow Star” [2011] 3 SLR 1; [2011] SGHC 35 (jtjb.com), Paragon Shipping v Freight Connect (perplexity)",https://jtjb.com/
Dentons Rodyk & Davidson LLP,Singapore Local,"80 Raffles Place, #33-00 Uob Plaza 1, 048624, Singapore (Dentons.Rodyk.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Islamic Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences","Bulk Trident Shipping Ltd, WEM-3 Pte Ltd, WEM-4 Pte Ltd, WEM-5 Pte Ltd, WEM-6 Pte Ltd, INEOS Styrolution Korea Ltd, UniCredit Bank AG SG branch, Bank of China Limited, Shenzhen Branch, Oversea-Chinese Banking Corporation (OCBC), Boustead Projects Limited, Thomson Medical Group (TMG), Templewater Hong Kong Limited, ZeroNorth A/S (perplexity)","Government of Sri Lanka v Shipowners of Vessel X-Press Pearl and associated persons, Fastfreight Pte Ltd v Bulk Trident Shipping Ltd Case involving vessel GULF DEFFI, UniCredit Bank AG v Hin Leong Trading (Pte) Ltd (perplexity)","Dentons Rodyk is part of Dentons ASEAN, the first global pan-ASEAN law firm. https://dentons.rodyk.com/en/office-details/singapore"
Oon & Bazul LLC,Singapore Local,"36 Robinson Road, #08-01/06 City House, Singapore 068877 (Https://Oonbazul.Com/Contact/)","Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Insurance","the International Oil Pollution Compensation Funds, Taconic Capital Advisors, Winson Oil Trading Pte Ltd, OCBC Bank, ECOBULK SHIPPING INC.), Energe Asia Pte Ltd, Aastar Trading Pte Ltd, Black Swan Petroleum DMCC (perplexity, legal500)","The Miracle Hope, Standard Chartered Bank (Singapore) Ltd v Maersk Tankers Singapore Pte Ltd (Winson Oil Trading Pte Ltd intervener) [2022] SGHC 242, The “STI Orchard” (Winson Oil Trading Pte Ltd intervener) [2022] SGHCR 6, he “Yue You 902” [2019] SGHC 106, The “Luna” and another appeal [2021] SGCA 84  (oonbazul.com)",https://oonbazul.com/
PDLegal LLC,Singapore Local,"1 Coleman Street , #08-02 The Adelphi , Singapore 179803 (Www.Pdlegal.Com.Sg)","Corporate & M&A, Dispute Resolution & Litigation, Restructuring & Insolvency, Real Estate & Construction, Shipping & Maritime, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","Evergreen Marine Corporation, Mercuria Energy Group (legal500), Louis Dreyfus Company Asia, Rotating Offshore Solutions, Skuld P&I Club, Pacific Distribution Investment Company (perplexity)","The Owner and/or Demise Charterer of the Vessel “Marine Honour” v. The Owner and/or Demise Charterer of the Vessel “Vox Maxima” and Others (gemini), Acting for owners of SOV Southern Star (a DP3 vessel), Representing Japanese ship owner Masao Mizobuchi (perplexity)",https://www.pdlegal.com.sg/
Shook Lin & Bok LLP,Singapore Local,"1 Robinson Road, #18-00 Aia Tower, Singapore 048542 (Https://Www.Shooklin.Com/En/)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Regulatory & Compliance, Real Estate & Construction, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, ESG & Sustainability, Entertainment & Media","The Hongkong and Shanghai Banking Corporation (HSBC), POS Maritime VX SA, Standard Chartered Bank (Singapore) Limited (SCB) (perplexity)","Duncan and Cameron Lindsay and another v Diablo Fortune Inc and another matter SGHC 172, Winson Oil Trading Pte Ltd v Oversea-Chinese Banking Corporation and Standard Chartered Bank (Singapore) Limited SGHC 220, Claim of more than USD80 million against OK Lim and his children, founder/ex-directors, and former senior employee of Hin Leong Trading (perplexity)",shooklin.com
TSMP Law Corporation,Singapore Local,"6 Battery Road, Level 5, Singapore 049909 (Https://Www.Tsmplaw.Com/Contact-Us/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Real Estate & Construction, Employment & Labor, Private Wealth & Estate Planning","Century Holding Company Limited, Nan Chiau Maritime, Halcyon Agri Corporation Limited, DHL, Seraya Energy, KPMG, Mizuho Bank, Perrenial Real Estate Holdings, Ho Lee construction, WestBridge Ventures II Investment Holdings, Luckin Coffee, Smart Glove, Hyundai Engineering & Construction, Asiana Airlines (perplexity)","Acting for Asiana Airlines in dispute with catering agent over arbitration agreements, Engaged by judicial managers in the liquidation of Nan Chiau Maritime, Advising on offshore shipping sector infrastructure financing deal (US$300 million), Representing client in dispute over nickel mine in Indonesia (Century Holding Company Limited) (perplexity)",https://www.tsmplaw.com/
Virtus Law LLP,Singapore Local,"8 Marina Boulevard, #29-01, Marina Bay Financial Centre Tower 1, Singapore 018981 (Https://Www.Virtus-Law.Com/)","Corporate & M&A, Banking & Finance, Capital Markets, Dispute Resolution & Litigation, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Employment & Labor, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","Standard Chartered Bank, the Hongkong and Shanghai Banking Corporation, HJ Shipbuilding & Construction Co., Ltd., Oldendorff Carriers GmbH & Co. KG, ING Bank, StraitNZ, X-Press Feeders, Hafnia Limited, Brightoil Petroleum (Singapore) Pte Ltd, BW LPG Limited, DeepOcean APAC AS (legal500, perplexity, gemini)","The ""Brightoil Glory"", In the matter of Coastal Oil Singapore Pte Ltd (In Liquidation), In re Varada Marine Pte Ltd ---, In the matter of Hin Leong Trading (Pte) Ltd and Winson Oil Trading v. Hin Leong Trading & Ors (gemini)",Virtus Law LLP is a member of the Stephenson Harwood (Singapore) Alliance. Focus is on five sectors:
DennisMathiew,Singapore Local,"7500A Beach Road, #14-324, The Plaza, Singapore 199591 (Https://Www.Dennismathiew.Com/Contact/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Shipping & Maritime, International Trade & Commodities, Entertainment & Media","Atlantic Navigation Holdings (Singapore) Ltd, Fairmacs Shipping & Transport Services Pte Ltd, Marco Polo Shipping Company Pte Ltd, Royal Global Exports Pte Ltd, ASL Marine Group, A.P. Moller-Maersk, Asian Infrastructure Ltd, U-Hin Manufacturing Pte Ltd, International Coatings Pte Ltd, Heroic Warrior Inc (dennismathiew.com, gemini)","Atlantic Navigation Holdings (Singapore) Ltd v Chang Yee Meng Malcolm and another [2021] SGHC 159, Marco Polo Shipping Co Pte Ltd v Fairmacs Shipping & Transport Services Pte Ltd [2015] 5 SLR 541, The “Emma Maersk” [2006] SGHC 180, Royal Global Exports Pte Ltd v Good Stream Co Ltd and anor [2004] 4 SLR(R) 247, The “ASL Power” [2003] 1 SLR(R) 545, The “Caraka Jaya Niaga III-11” [2021] SGHC 43 (dennismathiew.com)","DennisMathiew has built a solid reputation in maritime and commercial law, services span across shipping, logistics, international trade, and oil & gas. https://www.dennismathiew.com/"
