Institution Name,Category,Commodity Type,Geographic Reach,Known Clients,Notes
gb helios,Alternative Financier,energy,SG,,
nomura securities singapore,Alternative Financier,"energy, hard/metals, soft/agricultural","APAC, EU, Middle East, Americas",,
adm capital,Alternative Financier,soft/agricultural,"Indonesia, SEA, APAC, North America, EU, AUS, NZ",,
hong leong finance,Alternative Financier,Unknown,SG,,
eastvine capital,Alternative Financier,"energy, hard/metals, soft/agricultural",APAC,,MAS‑licensed fund manager operating a commodity trade finance fund. all borrowers are in the commodity value chain (perplexity)
sing investments & finance,Alternative Financier,Unknown,SG,,
zma smart capital,Alternative Financier,others,"SG, Asia",,UEN: 201914167G
mufg trading singapore,Alternative Financier,"energy, hard/metals","SG, Global",,"Structured‑trade trading company (not a bank), 100% owned by MUFG Trading, Ltd. (Japan) (perplexity)"
orix leasing singapore,Alternative Financier,Unknown,"SG, SEA",,Non‑bank finance company focused on leasing and asset‑based financing for SMEs/corporates in Singapore. (perplexity)
capital match platform,Alternative Financier,Unknown,SG,,
seatown holdings,Alternative Financier,Unknown,APAC,,
modifi asia,Alternative Financier,Unknown,"Europe, Asia, the Middle East and North America",,
stonex financial,Alternative Financier,"energy, hard/metals, soft/agricultural","APAC, Americas, EU, Middle East",,
horizon capital ag singapore rep,Alternative Financier,"energy, hard/metals, soft/agricultural","Europe, Asia and North America",,"SG address: 6 Battery Road, Level 42, Singapore 049909 (https://horizoncap.ch/)"
hartree partners singapore,Alternative Financier,"energy, hard/metals",Global,,
traxys singapore,Alternative Financier,"energy, hard/metals",Global,,"sg address: Traxys Singapore Pte Ltd, 73 Tras Street #04-01, SINGAPORE , 079012 (https://www.traxys.com/locations)"
freepoint commodities singapore,Alternative Financier,"energy, hard/metals, soft/agricultural, emerging",Global,the prax group,
