Institution Name,Category,Commodity Type,Geographic Reach,Known Clients,Notes
Nomura Securities (Singapore) Pte. Ltd.,Alternative Financier,"energy, hard/metals, soft/agricultural","APAC, EU, Middle East, Americas",Unknown,
ADM Capital,Alternative Financier,soft/agricultural,"Indonesia, SEA, APAC, North America, EU, AUS, NZ","PT Bening Big Tree Farms, Square Yards, Rizal Commercial Banking Corporation",
Hong Leong Finance Ltd,Alternative Financier,Unknown,SG,Unknown,
EASTvine Capital Pte Ltd,Alternative Financier,"energy, hard/metals, soft/agricultural",APAC,Unknown,MAS‑licensed fund manager operating a commodity trade finance fund. all borrowers are in the commodity value chain (perplexity)
Sing Investments & Finance Ltd,Alternative Financier,Unknown,SG,Unknown,
ZMA Smart Capital Pte. Ltd.,Alternative Financier,others,"SG, Asia",Unknown,UEN: 201914167G
MUFG Trading (Singapore) Pte. Ltd.,Alternative Financier,"energy, hard/metals","SG, Global",Unknown,"Structured‑trade trading company (not a bank), 100% owned by MUFG Trading, Ltd. (Japan) (perplexity)"
ORIX Leasing Singapore Ltd,Alternative Financier,Unknown,"SG, SEA",Unknown,Non‑bank finance company focused on leasing and asset‑based financing for SMEs/corporates in Singapore. (perplexity)
Capital Match Platform Pte. Ltd.,Alternative Financier,Unknown,SG,Unknown,
SeaTown Holdings Pte. Ltd.,Alternative Financier,Unknown,APAC,Unknown,
Modifi Asia Pte. Ltd.,Alternative Financier,Unknown,"Europe, Asia, the Middle East and North America",Unknown,
StoneX Financial Pte. Ltd.,Alternative Financier,"energy, hard/metals, soft/agricultural","APAC, Americas, EU, Middle East",Unknown,
Horizon Capital AG (Singapore rep),Alternative Financier,"energy, hard/metals, soft/agricultural","Europe, Asia and North America",Unknown,"SG address: 6 Battery Road, Level 42, Singapore 049909 (https://horizoncap.ch/)"
Hartree Partners Singapore Pte. Ltd,Alternative Financier,"energy, hard/metals",Global,Bezant Resources PLC,
Traxys Singapore Pte. Ltd.,Alternative Financier,"energy, hard/metals",Global,Unknown,"sg address: Traxys Singapore Pte Ltd, 73 Tras Street #04-01, SINGAPORE , 079012 (https://www.traxys.com/locations)"
Freepoint Commodities Singapore Pte. Ltd.,Alternative Financier,"energy, hard/metals, soft/agricultural, emerging",Global,The Prax Group,
