Label,Type,Description,Scope,Office Location(s) in APAC,Practice Areas,Known Client Base
drew & napier,lawyer,"Notable Cases / Disputes: Suntech Power Holdings Co Ltd v GSF Capital Pte Ltd and Javier Romero, Ng Joo Soon v Dovechem Holdings Pte Ltd Re Brightoil Petroleum (S’pore) Pte Ltd [2022] SGHC 35, Voss Peer v APL Co Pte Ltd [2002] SGHC 81, Hyosung (HK) Ltd v Owners of the Ship or Vessel ""Hilal I"" [2000] SGHC 268 (drewnapier.com, googleai, chambers)

Notes: www.drewnapier.com",Singapore Local,"10 Collyer Quay #10-01 Ocean Financial Centre , Singapore, Singapore Island, Singapore, 049315, Singapore (Chambers.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences, ESG & Sustainability, Entertainment & Media, Defamation & Reputation","metro holdings, razer"
wongpartnership,lawyer,"Notable Cases / Disputes: Timing Limited v Tay Toh Hin & Anor [2020] 5 SLR 974, Prime Shipping Corp v Public Prosecutor [2018] 4 SLR 795, Hin Leong Trading / Ocean Tankers Interpleader Proceedings (google)

Notes: https://www.wongpartnership.com/",Singapore Local,12 Marina Boulevard Level 28 Marina Bay Financial Centre Tower 3 Singapore 018982 (Www.Wongpartnership.Com),"Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Regulatory & Compliance, Intellectual Property, Tax, Technology, Data & Cybersecurity","dbs bank, first resources, first sponsor group"
helmsman llc,lawyer,"Notable Cases / Disputes: Public Prosecutor v Richard Ouwehand and Others, Orion Shipping and Trading Ltd v Great Asia Maritime Ltd Vasily Trubnikov v Evgeny Volosov [2025] HKCFI 1576 (google)

Notes: https://www.helmsmanlaw.com/",Singapore Local,"21A Duxton Hill (Reception: 19 Duxton Hill), Singapore 089604 (Https://Www.Helmsmanlaw.Com/Contact)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities","straits bunkering, united overseas bank uob"
blackstone & gold,lawyer,"Notable Cases / Disputes: Marketlend Pty Ltd v QBE Insurance (Singapore) Pte Ltd Majestica Enterprises Ltd v Kams Singapore Pte Ltd $60 Million African Oil Project Arbitration (LCIA London), The Hin Leong Trading Collapse Fallout (gemini)

Notes: https://www.blackstonegold.com/",Singapore Local,"70 Shenton Way, Eon Shenton, #10-12, S079118 (Www.Blackstonegold.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, International Trade & Commodities, Energy & Infrastructure, Technology, Data & Cybersecurity, ESG & Sustainability","alvari, avani resources"
braddell brothers llp,lawyer,"Notable Cases / Disputes: BASF Intertrade AG Singapore Branch v H&C S Holding Pte Ltd PetroVietnam v PJSC Power Machines, Teunis Eigenraam v Ngng Pte Ltd Vessel Charterer Winding-Up Defense (gemini)

Notes: https://braddellbrothers.com/",Singapore Local,"11 Beach Road #04-01 Singapore , Singapore, Singapore Island, Singapore, 189675, Singapore (Chambers)","Corporate & M&A, Banking & Finance, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Energy & Infrastructure, Private Wealth & Estate Planning, Healthcare & Life Sciences, Defamation & Reputation","bafco singapore, basf intertrade ag singapore branch, the singapore medical council smc"
joseph tan jude benny llp,lawyer,"Notable Cases / Disputes: The “Miracle Hope” [2020] SGHCR 3; BNP Paribas v Bandung Shipping Pte Ltd (Shweta International Pte Ltd and another, third parties) [2003] 3 SLR(R) 611; [2003] SGHC 111; Freight Connect (S) Pte Ltd v Paragon Shipping Pte Ltd [2015] SGCA 37; Zim Integrated Shipping Services Ltd and others v Dafni Igal and others [2010] SGCA 45; The “Rainbow Star” [2011] 3 SLR 1; [2011] SGHC 35 (jtjb.com), Paragon Shipping v Freight Connect (perplexity)

Notes: https://jtjb.com/",Singapore Local,"168 Robinson Road, #18-02 Capital Tower, Singapore 068912 (Jtjb.Com)","Corporate & M&A, Dispute Resolution & Litigation, Regulatory & Compliance, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning",fti consulting singapore
dentons rodyk & davidson llp,lawyer,"Notable Cases / Disputes: Government of Sri Lanka v Shipowners of Vessel X-Press Pearl and associated persons, Fastfreight Pte Ltd v Bulk Trident Shipping Ltd Case involving vessel GULF DEFFI, UniCredit Bank AG v Hin Leong Trading (Pte) Ltd (perplexity)

Notes: Dentons Rodyk is part of Dentons ASEAN, the first global pan-ASEAN law firm. https://dentons.rodyk.com/en/office-details/singapore",Singapore Local,"80 Raffles Place, #33-00 Uob Plaza 1, 048624, Singapore (Dentons.Rodyk.Com)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Islamic Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Tax, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences","boustead projects, oversea-chinese banking corporation ocbc, thomson medical group tmg"
oon & bazul llc,lawyer,"Notable Cases / Disputes: The Miracle Hope, Standard Chartered Bank (Singapore) Ltd v Maersk Tankers Singapore Pte Ltd (Winson Oil Trading Pte Ltd intervener) [2022] SGHC 242, The “STI Orchard” (Winson Oil Trading Pte Ltd intervener) [2022] SGHCR 6, he “Yue You 902” [2019] SGHC 106, The “Luna” and another appeal [2021] SGCA 84  (oonbazul.com)

Notes: https://oonbazul.com/",Singapore Local,"36 Robinson Road, #08-01/06 City House, Singapore 068877 (Https://Oonbazul.Com/Contact/)","Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Insurance","oversea-chinese banking corporation ocbc, winson oil trading"
pdlegal llc,lawyer,"Notable Cases / Disputes: The Owner and/or Demise Charterer of the Vessel “Marine Honour” v. The Owner and/or Demise Charterer of the Vessel “Vox Maxima” and Others (gemini), Acting for owners of SOV Southern Star (a DP3 vessel), Representing Japanese ship owner Masao Mizobuchi (perplexity)

Notes: https://www.pdlegal.com.sg/",Singapore Local,"1 Coleman Street , #08-02 The Adelphi , Singapore 179803 (Www.Pdlegal.Com.Sg)","Corporate & M&A, Dispute Resolution & Litigation, Restructuring & Insolvency, Real Estate & Construction, Shipping & Maritime, Private Wealth & Estate Planning, Technology, Data & Cybersecurity",louis dreyfus company asia
shook lin & bok llp,lawyer,"Notable Cases / Disputes: Duncan and Cameron Lindsay and another v Diablo Fortune Inc and another matter SGHC 172, Winson Oil Trading Pte Ltd v Oversea-Chinese Banking Corporation and Standard Chartered Bank (Singapore) Limited SGHC 220, Claim of more than USD80 million against OK Lim and his children, founder/ex-directors, and former senior employee of Hin Leong Trading (perplexity)

Notes: shooklin.com",Singapore Local,"1 Robinson Road, #18-00 Aia Tower, Singapore 048542 (Https://Www.Shooklin.Com/En/)","Corporate & M&A, Banking & Finance, Capital Markets, Private Equity & Venture Capital, Funds & Investment Management, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Regulatory & Compliance, Real Estate & Construction, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, ESG & Sustainability, Entertainment & Media",standard chartered bank singapore scb
tsmp law corporation,lawyer,"Notable Cases / Disputes: Acting for Asiana Airlines in dispute with catering agent over arbitration agreements, Engaged by judicial managers in the liquidation of Nan Chiau Maritime, Advising on offshore shipping sector infrastructure financing deal (US$300 million), Representing client in dispute over nickel mine in Indonesia (Century Holding Company Limited) (perplexity)

Notes: https://www.tsmplaw.com/",Singapore Local,"6 Battery Road, Level 5, Singapore 049909 (Https://Www.Tsmplaw.Com/Contact-Us/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Real Estate & Construction, Employment & Labor, Private Wealth & Estate Planning","halcyon agri corporation, ho lee construction, kpmg, mizuho bank, perennial real estate holdings, seraya energy, westbridge ventures ii investment holdings"
virtus law llp,lawyer,"Notable Cases / Disputes: The ""Brightoil Glory"", In the matter of Coastal Oil Singapore Pte Ltd (In Liquidation), In re Varada Marine Pte Ltd ---, In the matter of Hin Leong Trading (Pte) Ltd and Winson Oil Trading v. Hin Leong Trading & Ors (gemini)

Notes: Virtus Law LLP is a member of the Stephenson Harwood (Singapore) Alliance. Focus is on five sectors:",Singapore Local,"8 Marina Boulevard, #29-01, Marina Bay Financial Centre Tower 1, Singapore 018981 (Https://Www.Virtus-Law.Com/)","Corporate & M&A, Banking & Finance, Capital Markets, Dispute Resolution & Litigation, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Employment & Labor, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Technology, Data & Cybersecurity",standard chartered bank singapore scb
dennismathiew,lawyer,"Notable Cases / Disputes: Atlantic Navigation Holdings (Singapore) Ltd v Chang Yee Meng Malcolm and another [2021] SGHC 159, Marco Polo Shipping Co Pte Ltd v Fairmacs Shipping & Transport Services Pte Ltd [2015] 5 SLR 541, The “Emma Maersk” [2006] SGHC 180, Royal Global Exports Pte Ltd v Good Stream Co Ltd and anor [2004] 4 SLR(R) 247, The “ASL Power” [2003] 1 SLR(R) 545, The “Caraka Jaya Niaga III-11” [2021] SGHC 43 (dennismathiew.com)

Notes: DennisMathiew has built a solid reputation in maritime and commercial law, services span across shipping, logistics, international trade, and oil & gas. https://www.dennismathiew.com/",Singapore Local,"7500A Beach Road, #14-324, The Plaza, Singapore 199591 (Https://Www.Dennismathiew.Com/Contact/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Shipping & Maritime, International Trade & Commodities, Entertainment & Media","atlantic navigation holdings singapore, royal global exports"
asialegal llc,lawyer,"Notable Cases / Disputes: The ""Kaminesan"" (Three-Ship Collision), The ""Asia Star"" [2006] SGHC 115, The ""Ching Ho"" & ""Noble Spirit"" Container Losses, Pacific Integrated Logistics Pte Ltd v German Vernel International Freight Ltd [2007] 1 SLR 1017, The O.W. Bunker Collapse Litigation: Precious Shipping Public Company Ltd v OW Bunker Far East [2015] SGHC 187, Ever Lucky Shipping Company Limited v Sunlight Mercantile Pte Ltd [2003] SGHC 80 (gemini)

Notes: website not working.",Singapore Local,"1 Coleman Street, #07-02A, The Adelphi, Singapore 179803 (Gemini)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Shipping & Maritime, Private Wealth & Estate Planning, Family Law, Insurance, Entertainment & Media",louis dreyfus company asia
christopher lau sc,lawyer,"Notable Cases / Disputes: Unknown

Notes: N/A",Singapore Local,"32 Maxwell Road, #02-04 Maxwell Chambers, Singapore 069115 (Https://Arbitrationlaw.Com/Profile/Christopher-Lau-0)","International Arbitration, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Entertainment & Media",
dunbar & lim chambers llc,lawyer,"Notable Cases / Disputes: The US$168 Million LNG Non-Delivery Arbitration (ICC Singapore), The Concurrent Gas Production Arbitrations (SIAC Singapore), The US$3 Billion Upstream State Dispute (ICC), The European Multinational v. Asian Commodities Firm Dispute (ICC) (gemini)

Notes: https://dunbarlim.com/",Singapore Local,"160 Robinson Road, #18-03 Sbf Center, Singapore 068914  (Https://Dunbarlim.Com/Contact/)",International Arbitration,
haridass ho & partners,lawyer,"Notable Cases / Disputes: The “August 8” [1980–1981] SLR 144 / [1982–1983] SLR 32 (Privy Council), The “Hung Vuong 2” [2001] 3 SLR 146, Faith Maritime Co Ltd v Feoso (Singapore) Pte Ltd & Another [2002] 4 SLR 716, The “Neptra Premier” [2002] 2 SLR 124, The “Patraikos 2” [2002] 4 SLR 232, Marina Offshore Pte Ltd v China Insurance Co (Singapore) Pte Ltd [2006] 1 SLR 800 (Court of Appeal) (gemini)

Notes: https://hhp.com.sg/",Singapore Local,"4 Shenton Way, #10-03/06 Sgx Centre 2, Singapore 068807 (Https://Hhp.Com.Sg/Sample-Page/)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Entertainment & Media",marina offshore
gill arbitration services,lawyer,"Notable Cases / Disputes: Glencore International A.G. v. Republic of Colombia, dispute over the bulk purchase of physical hydrocarbon products by a Chinese entity, dispute between two major Saudi Arabian companies involving cross-border logistics, as price review dispute involving physical gas supply and off-take agreements across Asia (perplexity)

Notes: She has experience in various commercial arbitration areas, including joint ventures, corporate sales, construction, energy contracts, and investment treaty disputes. https://www.judithgill.com/#answers-section",Singapore Local,"81A Clemenceau Avenue, #05-18, Ue Square, Singapore 239918 (Https://Www.Judithgill.Com/#Answers-Section)","Corporate & M&A, International Arbitration",
pk wong & nair llc,lawyer,"Notable Cases / Disputes: PDV Marina Wind-Up (CV Shipping Liquidation), Goldilocks Investment Co Ltd v Noble Group Ltd 5 SLR 425 (perplexity)

Notes: https://pkw.com.sg/",Singapore Local,"6 Battery Road, #09-03, Singapore 049909 (Https://Pkw.Com.Sg/)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Employment & Labor, Intellectual Property, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","maybank singapore, petrochina international singapore"
providence law asia llc,lawyer,"Notable Cases / Disputes: Re Hin Leong Trading (Pte) Ltd [2025] / [2026], Re GP Global APAC Pte Ltd [2024] / [2025], HSBC v Zenrock Commodities Trading Pte Ltd Alphard Maritime Ltd v Samson Maritime Ltd and Underwater Services Company Limited [2025] SGHC 154 (gemini)

Notes: https://www.providencelawasia.com/",Singapore Local,"One Raffles Place, Tower 2, #29-62, Singapore 048616 (Https://Www.Providencelawasia.Com/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Real Estate & Construction, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","gp global apac, gtp advisory pac, pricewaterhousecoopers pwc singapore"
lvm law chambers llc,lawyer,"Notable Cases / Disputes: The “Maersk Katalin” [2024] SGHC 282, CYE v CYF [2023] SGHC 275 (lvmlawchambers.com)

Notes: https://www.lvmlawchambers.com/",Singapore Local,"160 Robinson Road, #13-02 Sbf Center, Singapore 068914 (Https://Www.Lvmlawchambers.Com/Contact/)",Dispute Resolution & Litigation,"cye, grabtaxi holdings, ms first capital insurance, unipec singapore, united overseas bank uob, winson oil trading"
incisive law llc,lawyer,"Notable Cases / Disputes: Argoglobal Underwriting Asia Pacific Pte Ltd and others v Oversea-Chinese Banking Corporation Limited SGCA 14, The “Sea Justice” SGCA 32, The “Tina I” 3 SLR 121 (perplexity)

Notes: https://incisivelaw.com/",Singapore Local,"120 Robinson Road #08-01, Singapore 068913 (Incisivelaw.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Fraud, Investigations & White Collar, Shipping & Maritime, International Trade & Commodities, Insurance","argoglobal underwriting asia pacific, china taiping insurance singapore, great american insurance company, ms first capital insurance, qbe insurance singapore"
damodara ong llc,lawyer,"Notable Cases / Disputes: Unknown

Notes: https://www.damodaraong.com/",Singapore Local,"30 Cecil St, #11-01 Prudential Tower, Singapore 049712 (Https://Www.Damodaraong.Com/#!/Contact)","Corporate & M&A, Dispute Resolution & Litigation, Fraud, Investigations & White Collar, Private Wealth & Estate Planning, Family Law",
