Firm Name,Type (Intl / Local),Office Location(s) in APAC,(SG) Partners Specialized in Commodities / Trade / Shipping,Practice Areas (Disputes / Sanctions / Finance / M&A),Known Client Base (Chambers / Legal 500 / SIAC) ,Notable Cases / Disputes,BD Contact Name,BD Contact Email,BD Contact Phone,Relationship Status,Priority (H/M/L),Notes / Next Steps,Done by,,,,
Hill Dickinson,International,"3 Anson Road, Springleaf Tower, 24-03, Singapore, 079909, SG ( Hill Dickinson LLP linkedin)","Master Mariner /Counsel: Binoy Dubey, Master Mariner /Partner: Donal Keaney, Partner | Head of Singapore office: Andrew Lee (https://www.hilldickinson.com/)","general advisory, regulatory compliance,  real estate operations, Disputes ,Sanctions , Finance ,M&A (gemini)","Reabold Resources (chamber), Star Academies  (chamber),Fox Brothers Holdings (chamber), CPM UK (chamber), Extrude Hone(chamber), moby group(gemini), Socar Trading Middle East DMCC (google ai),P&I Clubs (google ai)","SY Roro 1 Pte Ltd and another v Onorato Armatori S.R.L. and others [2024] EWHC 611 (Comm) (google AI), Trafigura PTE Ltd & Anor v Gupta & Ors [2026] EWHC 159 (Comm) (hilldickinson.com/our-view/articles/commodity-trader-successful-in-fraudulent-nickel-trade-claims/)",n/a,n/a,sg office : 65 6576 4747 (Legal500),,,https://www.hilldickinson.com/,seaklang,,,,
Mayer Brown LLP,International,"6 Battery Road, #10-01, Singapore 049909 (https://www.mayerbrown.com/en/about-us/locations)",Office Managing Partner: Yu-Jin Tay (https://www.mayerbrown.com/en/about-us/locations/singapore),"Finance & Banking (Signature Practice), Litigation & Dispute Resolution, Corporate & Securities, Specialized & Industry Sectors (gemini)","Trafigura, OQ Trading (OQT), Glencore plc, Shell & Shell Western Supply and Trading, TotalEnergies / TOTAL, PetroChina & CNOOC, JERA & Pavilion Energy, PETRONAS (Marine & LNG Transport), Deutsche Energy Terminal GmbH (DET), Hong Kong LNG Terminal Limited (HKLTL), Mitsui & Osaka Gas, Excelerate Energy (perplexity)","Clearlake Shipping Pte Ltd v. Guvnor Shipping & Others, Aabar Holdings v. Glencore plc, The ""Reluctant Ship Owner"" Mortgages Enforcement Action, In re: Singamas and Container Cartel Litigation, In re: Glencore PLC SFO Investigation (perplexity)",Assistant Director: Business Development & Marketing (Asia): Tom Ruffles (https://www.mayerbrown.com/en/about-us/locations/singapore),"sg office: singapore.office@mayerbrown.com, Assistant Director: Business Development & Marketing (Asia): tom.ruffles@mayerbrown.com (https://www.mayerbrown.com/en/about-us/locations/singapore)","sg office: +65 6922 2233 & +65 6225 3166,  Assistant Director: Business Development & Marketing (Asia): +65 6922 2302 (https://www.mayerbrown.com/en/about-us/locations/singapore)",,,https://www.mayerbrown.com/en,Mona ,,,,
Latham & Watkins LLP,International,"9 Raffles Place #42-02 Republic Plaza Singapore, 048619 (https://www.lw.com/)","Partner:Nicholas P. Luongo (https://www.lw.com/), Associate Managing Partner, Asia: Simon Cooke (https://law.asia/), Partner: Yvette D. Valdez, Douglas K. Yatter, Carlos Alvarez (https://www.lw.com/)","Economic Sanctions & Export Controls, Banking & Private Credit, Fund Finance, Hybrid Capital, Investment Funds, Islamic Finance, Private Equity Finance, Project Development & Finance, Structured Finance, Sustainable Finance, Mergers & Acquisitions, Mergers & Acquisitions Litigation, Securities and M&A Litigation (gemini & https://www.lw.com/en/capabilities)","Michelin, Revolution Medicines, Inc. , AMD (Advanced Micro Devices, Inc.) (chambers) , Riverstone Holdings LLC (https://www.lw.com/ & Gemini), Delfin Midstream (https://www.lw.com/ ), Ocean Network Express Pte. Ltd. (ONE)(https://www.lw.com/ ), Macquarie Group (Macquarie) (gemini)","Latham & Watkins Advises Riverstone in Acquisition of Trailstone by Engelhart Commodities Trading Partners ( https://www.lw.com/ & Gemini), Latham & Watkins Advises Delfin Midstream on First Offshore Floating Vessel LNG Export Facility in the US (https://www.lw.com/ & Gemini), Latham & Watkins Advised Ocean Network Express in the Completion of Atlas’ Going Private Transaction(https://www.lw.com/ & Gemini), Latham & Watkins Advises Macquarie on 15-Year LNG Sale and Purchase Agreement With AMIGO LNG(https://www.lw.com/ & Gemini)",,,sg office : +65.6536.1161  (https://www.lw.com/),,,https://www.lw.com/,Seaklang,,,,
  🇸🇬  SINGAPORE LOCAL FIRMS,,,,,,,,,,,,,,,,,
Rajah & Tann,Singapore Local,"9 Straits View, #06-07 Marina One West Tower, Singapore 018937 (sg.rajahtannasia.com)","Head of Shipping & International Trade: Leong Kah Wah, Head of Corporate Shipping & Finance: Chua Choon King, Deputy Head of Shipping & International trade: Nathanael Lin, Partners: (V Bala, Aleksandar Anatoliev Georgiev, Daphne Chua, Dedi Affandi Bin Ahmad, Dharini Ravi, Jainil Bhandari, Jonathan Oon, Kendall Tan, Lim Chen Chen, Nicole Ong, Ting Yong Hong, Winston Kwek, Wu Junneng, Yang Lih Shyng, Yu Zheng), Senior Partner: Toh Kian Sing, SC (sg.rajahtannasia.com)","Aviation, Banking & Finance, Banking & Financial Disputes, Capital Markets, China-Related Investment Dispute Resolution, Commercial & Corporate Disputes, Competition & Antitrust and Trade, Construction & Projects, Corporate Commercial, Corporate Real Estate, Data & Digital Economy, Employment, Energy & Resources, Entertainment & Media, Financial Institutions, Foreign Investment Approvals, Fraud, Asset Recovery & Investigations, Funds & Investment Management, Gaming & Gambling, Hospitality, Insurance & Reinsurance, Intellectual Property, International Arbitration, Legal Basix, Medical, Healthcare & Life Sciences, Mergers & Acquisitions, Private Client Disputes, Private Wealth, Project Finance, Restructuring & Insolvency, Shipping & International Trade, Sports, Sustainability, Tax, Technology, Media & Telecommunications, White Collar Crime (sg.rajahtannasia.com)","Hanjin Shipping, Sumifru Singapore Pte Ltd., COSCO Shipping Specialized Carriers Co, Ltd., Sinopec International (Singapore) Pte Ltd, Pacific Richfield Marine, CH Offshore Limited, Chuan Hup Holdings, Miclyn Express Offshore Limited, Neptune Associated Shipping Pte Ltd, Neptune Associated Shipping Pte Ltd, Pacific Shipping Trust, PT Rig Tenders Indonesia, Searights Maritime Services Group (gemini + rajahtannasia.com)","The Mount Apo [2019] 4 SLR 909, BWG v BWF [2020] 1 SLR 1296, PT Adidaya Energy Mandiri v MS First Capital Insurance Ltd [2022] 4 SLR 371, Sumifru Singapore Pte Ltd v Felix Santos Ishizuka and others [2022] SGHC 14, COSCO Shipping Specialized Carriers Co, Ltd v PT OKI Pulp & Paper Mills and others [2023] SGHC 149, Sinopec International (Singapore) Pte Ltd v Bank of Communications Co Ltd [2024] 3 SLR 476 (sg.rajahtannasia.com)","Head of Business Development: Melinda Lim, Snr BD Exec: Nicholas Tan, Snr BD Exec: Jaz Musa, Snr BD Exec: Timothy Leong (SN)","Snr BD Exec Nicholas Tan: nicholas.tan@rajahtann.com, Snr BD Exec Jaz Musa: jaz.musa@rajahtann.com,  Snr BD Exec Timothy Leong: timothy.leong@rajahtann.com, sg office: info@rajahtannasia.com (apollo + sg.rajahtannasia.com)","Snr BD Exec Jaz Musa: +65 9694 4607 (mobile),  Snr BD Exec Timothy Leong: +65 9648 9747 (mobile), sg office: +65 6535 3600 (apollo + https://sg.rajahtannasia.com/)",,,Rajah & Tann Sing apore LLP. https://sg.rajahtannasia.com/,Mona,,,,
Allen & Gledhill,Singapore Local,"One Marina Boulevard, #28-00, Singapore 018989 (allenandgledhill.com)","Partners: (Vivian Ang, Jonathan Choo, Ho Pey Yann, Daniel Liang, Dorcas Seah, Soh Yin Chuin, Corina Song, Siva Subramaniam, Erik Widjaja, Kenny Yap, Yap Yin Soon, Tan Zhi Feng) (allendandgledhill.com), Managing Partner: Jerry Koh (SN)","Banking & Finance, Capital Markets, China Practice, Competition & Foreign Investment Review, Construction & Engineering, Corporate & Commercial, Corporate Real Estate, Corporate Regulatory & Compliance, Corporate Services, Cybersecurity & Data Protection, Employment, Health & Safety, Energy, Infrastructure & Projects, English Law Practice, ESG & Public Policy, Financial Regulatory & Compliance, Fintech, Healthcare, Life Sciences & Pharmaceuticals, India Practice, Indonesia Practice, Intellectual Property, International Arbitration, International Trade, Investment Funds, Islamic Finance, Johor-Singapore Special Economic Zone Desk, Litigation, Maritime & Aviation, Mergers & Acquisitions, Private Equity, Private Wealth, Real Estate Investment Trusts, Restructuring & Insolvency, Tax, Technology & Corporate Intellectual Property, Technology Disputes, Technology, Media & Telecommunications, Venture Capital, White Collar & Investigations (https://www.allenandgledhill.com/sg/practices/)","PT Commodities & Energy Resources, JSW International Tradecorp Pte Ltd (JSW), Telemedia Global Data Centres, BTS Tankers Pte Ltd, Natixis Singapore Branch, Hai Jiang 1401 Pte Ltd, DBS Bank, United Overseas Bank, Oversea-Chinese Banking, World Bank (chambers, google ai, allenandgledhill.com)","Public Prosecutor v. Captain George Vakirtzis, Public Prosecutor v. Captain Janusz Czubak, Five Ocean Corp v Cingler Ship Pte Ltd (PT Commodities & Energy Resources, intervener) [2016] 1 SLR 1159, Valency International Pte Ltd v JSW International Tradecorp Pte Ltd & Ors, Natixis, Singapore Branch v Lim Oon Kuin and Ors, Hai Jiang 1401 Pte Ltd v Singapore Technologies Marine Ltd (allenandgledhill.com, chambers)","Regional Head, Business Development & Marketing: Jimmy Lim, Snr BD Exec: Felicia Chiuh, BD Exec: Rachel Ming, BD Exec: Gabriel John Mak, Snr  BD Manager: Judy Ng (SN)","sg office: sg.enquiries@agasia.law (allenandgledhill.com), Regional Head, Business Development & Marketing: jimmy.lim@allenandgledhill.com, BD Exec Rachel Ming: rachel.ming@allenandgledhill.com (allenandgledhill.com, apollo)","sg office: +65 6890 7188 (allenandgledhill.com), Regional Head, Business Development & Marketing: +65 9661 6030 (mobile), Snr BD Exec Felicia Chiuh: +65 6808 1632 (mobile), BD Exec Rachel Ming: +65 9646 9949 (mobile), BD Exec Gabriel John Mak: +65 8754 6693 (mobile), Snr BD Manager: +65 9641 4380 (mobile) (allenandgledhill.com, apollo)",,,allenandgledhill.com,Mona,,,,
Drew & Napier,Singapore Local,"10 Collyer Quay #10-01 Ocean Financial Centre , Singapore, Singapore Island, Singapore, 049315, Singapore (chambers.com)","Chairman: Jimmy Yim SC, MD Dispute Resolution: Mahesh Rai (drewnapier.com)","Arbitration, Artificial Intelligence and Digital Trust, Asset Recovery, Banking & Finance, Blockchain & Digital Assets, Business Establishment, Capital Markets, Commercial Litigation, Competition Law & Regulatory Practice, Competition Law Practice (Disputes), Construction & Engineering, Corporate Litigation, Corporate/M&A, Corporate Restructuring & Workouts, Corporate Secretarial, Immigration, Process Agent Services (Drewcorp), Crime, Data Protection, Privacy and Cybersecurity, Drew Data Protection & Cybersecurity Academy, Defamation, Employment, Environmental, Social & Governance, Financial Services Regulation, Insurance, Intellectual Property, International Arbitration, International Trade, Investigations, Investment Funds, Mediation, Medical Negligence, Private Client Disputes, Private Clients – Family Offices, Trusts and Immigration, Projects, Energy & Infrastructure (Dispute Resolution), Projects, Energy & Infrastructure (Corporate & Finance), Public International Law, Real Estate, Shipping, SICC Expertise, Strategy & Transactions, Tax, Wills, Probate and Estate Administration (drewnapier.com)","Daelim Industrial Co., Ltd., Resources Prima Group Ltd, CVC Capital Partners (CVC), PT Berlian Laju Tanker Tbk, Metro Holdings Limited, Asia Pulp & Paper group of companies (APP Group), Brightoil Petroleum (S'pore) Pte. Ltd. (BOPS), Razer, Tencent, Eagle Hospitality Trust, ST Marine Ltd, Shandong Shipping Corporation, O.W. Bunker Far East (Pte) Ltd, Dynamic Oil Trading (Singapore) Pte Ltd, Hin Leong Trading, Hilal Denizcilik (drewnpaier.com, google ai, chambers) ","Suntech Power Holdings Co., Ltd. v GSF Capital Pte. Ltd. and Javier Romero, Ng Joo Soon v Dovechem Holdings Pte Ltd, Re Brightoil Petroleum (S’pore) Pte Ltd [2022] SGHC 35, Voss Peer v APL Co Pte Ltd [2002] SGHC 81, Hyosung (HK) Ltd v Owners of the Ship or Vessel ""Hilal I"" [2000] SGHC 268 (drewnapier.com, googleai, chambers)","Marketing & BD: Niszam Anwar, BD Manager: Adeline Tan, Snr Exec Marketing & BD: Nur Syahirah D., Marketing & BD Exec: Jia Hui L., Senior Exec BD & Marketing: King Lopez (SN)","sg office: mail@drewnapier.com (drewnapier.com), BD Manager: adeline.tan@drewnapier.com, Senior Exec BD & Marketing King Lopez: king.lopez@drewnapier.com (apollo)","sg office: (65) 6535 0733 (drewnapier.com), BD Manager: +65 6713 9768, Senior Exec BD & Marketing King Lopez: +65 8237 4348 (mobile) (apollo)",,,www.drewnapier.com,Mona,,,,
WongPartnership,Singapore Local,12 Marina Boulevard Level 28 Marina Bay Financial Centre Tower 3 Singapore 018982 (www.wongpartnership.com),"Managing Partner: Chou Sean Yu (chambers), Partners: Alessa PANG, Charles TIAN XIAOMING, Daniel GAW, KOH Swee Yen, Senior Counsel, Lesley TAN, LIN Chunlong, Melanie HO, TAY Peng Cheng (www.wongpartnership.com)","Corporate & Financial services, Intellectual property, technology & data, international practices, litigation & dispute resolution, regulatory, senior counsel, specialized practices, tax (www.wongpartnership.com)","Nuance Pharma, First Resources, CC Capital, First Sponsor Group, China Railway Tunnel Group's Singapore branch, BNP Paribas Wealth Management, Meta Platforms Inc, KKR, DBS, PDV Marina, Ocean Tankers Pte Ltd, Seatrium, Hin Leong Trading (google, chambers)","Timing Limited v Tay Toh Hin & Anor [2020] 5 SLR 974, Prime Shipping Corp v Public Prosecutor [2018] 4 SLR 795, Hin Leong Trading / Ocean Tankers Interpleader Proceedings (google)",BD director: Martha Wong (SN),martha.wong@wongpartnership.com,"sg office: +65 6416 8000 (https://www.wongpartnership.com/site/locations), BD director: +1 404-567-9349 (mobile)",,,https://www.wongpartnership.com/,Mona,,,,
Helmsman LLC,Singapore Local,"21A Duxton Hill (Reception: 19 Duxton Hill), Singapore 089604 (https://www.helmsmanlaw.com/contact)",MD: Ian Teo (https://www.helmsmanlaw.com/people),"Banking & Finance, commercial disputes, commodities, corporate M&A, employment,  intellectual property, shipping (https://www.helmsmanlaw.com/expertise)","China Base Group Limited, United Overseas Bank, Maersk Tankers, Straits Bunkering Pte Ltd, Great Asia Maritime Limited, Quaestus Capital Pte. Ltd., Nanjing Tanker Corporation (Subsidiaries) (google)","Public Prosecutor v Richard Ouwehand and Others, Orion Shipping and Trading Ltd v Great Asia Maritime Ltd, Vasily Trubnikov v Evgeny Volosov [2025] HKCFI 1576 (google)",BD consultant: Jinsung Park (SN),"sg office: singapore@helmsmanlaw.com (https://www.helmsmanlaw.com/contact), BD consultant: jinsung.park@helmsmanlaw.com ","sg office: +65-6816-6660 (https://www.helmsmanlaw.com/contact), BD consultant: +65 9277 5291 (mobile)",,,https://www.helmsmanlaw.com/,Mona,,,,
Blackstone & Gold,Singapore Local,"70 Shenton Way, EON Shenton, #10-12, S079118 (www.blackstonegold.com)","Partners: Baldev Bhinder, Ramandeep Kaur, Joyce Fong, Samuel Tan, Yan Hu, Nikhil Sundaraj, Rakesh Vedam, Joao Evangelista, Dora Neo (www.blackstonegold.com)","arbitration, commercial litigation, restructuring & insolvency, power projects / EPC / marine construction, commodities trading / transport & finance, fraud / investigations / asset recovery, blockchain & digital assets, esg & carbon credits (www.blackstonegold.com)","Majestica Enterprises, Avani Resources Pte. Ltd., Alvari Pte. Ltd., InterChem Pte. Ltd., Phoenix Group, Somap International Pte. Ltd., QBE Insurance (Singapore) Pte Ltd, Hin Leong Trading , Pavilion Gas, Pertamina, PETRONAS, Mitsui Asia-Pacific Pte Ltd (gemini + blackstonegold.com)","Marketlend Pty Ltd v QBE Insurance (Singapore) Pte Ltd, Majestica Enterprises Ltd v Kams Singapore Pte Ltd, $60 Million African Oil Project Arbitration (LCIA London), The Hin Leong Trading Collapse Fallout (gemini)",n/a,sg office: business@blackstonegold.com (https://www.blackstonegold.com/),sg office: +65 6970 1677 (https://www.blackstonegold.com/),,,https://www.blackstonegold.com/,Mona,,,,
